box_score_id,set,is_europe,24Clock,gameClock,homeScore,quarter,visitorScore
0006680B-1047-4FB2-AA95-EF002F54D986,train,True,"[[587, 7], [625, 36]]","[[518, 8], [582, 37]]","[[250, 4], [310, 41]]","[[461, 5], [516, 40]]","[[317, 4], [371, 40]]"
00068C44-68C3-4926-8A84-83C6CEB82F26,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00069E6E-777E-4337-AE78-B07F5BCA2937,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
0006A551-2765-4BAA-9A0F-2933619C0DFB,test,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00078A5C-FBB4-4D14-8B20-76584F307D93,validation,True,"[[762, 9], [798, 47]]","[[690, 7], [759, 45]]","[[342, 10], [396, 44]]","[[645, 9], [686, 46]]","[[406, 9], [462, 43]]"
00078EEB-6CBF-4315-A16E-A7B49CF9D143,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0007A505-8AA6-426A-A66A-41706676ADD2,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00083B30-98F0-41C2-B67B-3C763A893F0A,train,True,"[[762, 9], [798, 47]]","[[690, 7], [759, 45]]","[[342, 10], [396, 44]]","[[645, 9], [686, 46]]","[[406, 9], [462, 43]]"
0008A2D2-41CC-4642-AAB4-6FDD2285D669,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0008BA94-4598-4657-9A48-A69178DED2E8,train,True,"[[762, 9], [798, 47]]","[[690, 7], [759, 45]]","[[342, 10], [396, 44]]","[[645, 9], [686, 46]]","[[406, 9], [462, 43]]"
0008F0BA-AA31-4FF3-A10C-1D2CD85C5937,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
000999F6-9D2A-4FA8-BA41-F3C4C00FECEF,test,True,"[[114, 44], [155, 76]]","[[49, 45], [103, 74]]","[[361, 9], [402, 44]]","[[19, 46], [49, 74]]","[[361, 42], [402, 78]]"
000A4256-59A8-4E88-AA67-74BED554E7F7,test,True,"[[115, 44], [156, 76]]","[[50, 45], [104, 74]]","[[362, 9], [403, 44]]","[[20, 46], [50, 74]]","[[362, 42], [403, 78]]"
000ADFE4-88F9-40FD-A0A1-8258A5D921B4,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
000BAD5B-30C2-4DB5-9DC1-7DA0A41C1567,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000BDBA9-31EC-405A-9AE5-FC6F3B2EEAFB,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000C0479-4D0D-4965-897D-7B5695099C9E,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000C30D0-CBE4-443E-82FA-90C818B8E4AF,validation,True,"[[737, 8], [773, 42]]","[[664, 10], [729, 42]]","[[322, 3], [372, 46]]","[[617, 9], [662, 44]]","[[393, 5], [445, 45]]"
000CA43C-2237-45FE-822B-118A083D3C92,validation,True,"[[587, 7], [625, 36]]","[[518, 8], [582, 37]]","[[250, 4], [310, 41]]","[[461, 5], [516, 40]]","[[317, 4], [371, 40]]"
000CA77E-F083-44B3-87C6-E984666252B0,test,True,"[[877, 4], [917, 42]]","[[782, 4], [877, 40]]","[[389, 3], [453, 44]]","[[714, 4], [768, 42]]","[[460, 2], [522, 43]]"
000D1C8E-F3EF-4C24-812A-FC31A0614D0C,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
000D8A61-02D8-4DDE-82EA-58C1F5759740,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
000D93C3-EB6E-4B6D-9A3A-5BBFFB7F077B,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
000D9B13-F4E1-41B4-9016-9FCC74E96DEF,validation,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
000DB467-E28D-419C-B182-7C7CC60EA753,train,True,"[[677, 5], [727, 44]]","[[586, 5], [675, 44]]","[[187, 5], [259, 45]]","[[518, 4], [565, 47]]","[[264, 4], [334, 47]]"
000DBB98-4010-46DA-9FEC-87A1C4A955B3,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000DBC40-46FB-4E65-9F76-0590E6728BFA,test,True,"[[115, 44], [156, 76]]","[[50, 45], [104, 74]]","[[362, 9], [403, 44]]","[[20, 46], [50, 74]]","[[362, 42], [403, 78]]"
000E00A2-14D4-422B-8A05-341884031DA1,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
000F4CBA-60A0-4F21-AF34-17AB9C514807,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
000F9474-68B1-446B-B46F-CBAE6422C09E,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
000FAED2-0E12-4EE9-B4D1-52017DF21481,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
000FB032-9472-4CF2-B25D-FB6102DAB84A,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
00109C80-397B-4B23-99CF-68CC8AD6B13A,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
00109D79-2459-4A60-A1F2-FD34E5AFC149,train,True,"[[635, 14], [675, 42]]","[[571, 16], [625, 44]]","[[262, 1], [310, 36]]","[[301, 35], [339, 60]]","[[329, -1], [374, 37]]"
0010A59C-9A75-41ED-89A5-D2E12D22B70A,train,True,"[[589, 6], [628, 37]]","[[518, 6], [583, 36]]","[[320, 3], [375, 40]]","[[469, 6], [494, 36]]","[[257, 5], [308, 36]]"
0010E8BA-DA8E-4B68-B275-8D79ABAEBEA7,train,True,"[[762, 9], [798, 47]]","[[690, 7], [759, 45]]","[[342, 10], [396, 44]]","[[645, 9], [686, 46]]","[[406, 9], [462, 43]]"
0010EDF6-278F-4117-86CF-D61CEC16F92C,train,True,"[[384, 4], [421, 39]]","[[321, 4], [382, 39]]","[[100, 3], [144, 39]]","[[288, 5], [309, 37]]","[[144, 3], [187, 39]]"
0010F125-E292-4C52-8575-EB9389123269,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
00118922-39D5-4A50-AA29-ACD7AB8B615B,validation,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00119E3E-8644-40D0-86EA-9ED5E509AD4D,train,True,"[[600, 6], [632, 44]]","[[517, 3], [600, 43]]","[[334, 5], [387, 43]]","[[476, 7], [518, 41]]","[[258, 5], [305, 45]]"
00124EAA-0BD7-41EF-8F23-B0A03E536CA3,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0012F422-B959-4798-8670-C42A2B673DCD,validation,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
00132407-AC74-4186-BF2C-73EC89BC7576,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
0013C864-CB2B-437E-B539-A63F530578E4,train,True,"[[600, 6], [632, 44]]","[[517, 3], [600, 43]]","[[334, 5], [387, 43]]","[[476, 7], [518, 41]]","[[258, 5], [305, 45]]"
0013F9C8-F704-4F81-B207-FD6A04B6A71D,train,True,"[[737, 8], [773, 42]]","[[664, 10], [729, 42]]","[[322, 3], [372, 46]]","[[617, 9], [662, 44]]","[[393, 5], [445, 45]]"
001405CD-2588-43C5-B6B8-868EACA4095C,test,True,"[[328, 5], [359, 34]]","[[264, 5], [323, 39]]","[[198, 4], [264, 43]]","[[386, 7], [427, 36]]","[[456, 3], [515, 42]]"
00144B30-B65A-4B84-B27F-D2ED054AE75D,train,True,"[[587, 7], [625, 36]]","[[517, 10], [577, 36]]","[[250, 4], [310, 41]]","[[461, 5], [516, 40]]","[[318, 2], [371, 40]]"
0014BBA5-F40F-4510-BA1F-89910EE3D533,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
00151B6A-05B2-4562-BA55-C09CB4FD1672,test,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
00160D9E-CA2E-4C0C-9A8C-A5214D19F45B,test,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
0016FAA5-1959-459B-BA6D-12DEC4BCDEBC,train,True,"[[739, 7], [785, 44]]","[[679, 8], [735, 46]]","[[324, 3], [381, 47]]","[[626, 8], [674, 46]]","[[396, 5], [453, 47]]"
001741BE-A48C-468B-8456-B056D8915CF1,train,True,"[[460, 5], [505, 46]]","[[391, 8], [456, 47]]","[[127, 10], [182, 51]]","[[357, 8], [391, 46]]","[[297, 8], [353, 51]]"
0017EF18-6476-46A5-9645-B9CBBEB71F54,train,True,"[[970, 20], [1015, 54]]","[[874, 11], [956, 54]]","[[270, 10], [410, 67]]","[[843, 22], [876, 51]]","[[419, 12], [545, 65]]"
00180FDD-82D1-4D65-8B93-83DBD88E10BA,validation,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0018AE80-7327-413E-B97C-0C1599BD9325,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0018CC24-D258-4AD8-BF55-2C1C559CD312,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
0018EBD0-81FC-47CA-BE67-CF20C81340A7,test,True,"[[970, 20], [1015, 54]]","[[874, 11], [956, 54]]","[[270, 10], [410, 67]]","[[843, 22], [876, 51]]","[[419, 12], [545, 65]]"
00194153-BBCB-448D-AEBF-70A6D36968E2,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
00195120-50FC-442D-9D2C-42BFA266870E,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001A32BC-CB38-4E01-AEB7-3B3C8D71D2FC,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001A73BB-7521-450D-882B-FD615214788B,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001AC165-B4C1-412C-91D2-75054C066AD1,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
001AC3AD-D7AD-4FA9-985D-D83B342F7D3F,validation,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
001B51FF-207D-43A5-B0B3-1AA3B8F035A4,validation,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
001C6B9C-5E2B-4EA6-AB15-02B54A3F540D,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
001D6719-917C-48B9-8576-3AEC72153D45,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
001D75A9-014B-464D-94B2-7EB2D8D7B539,train,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
001DFACF-EA35-4842-8E63-4CF0B7DFBCB5,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001E1451-0EBB-4D57-89AB-55EEC6649F1B,train,True,"[[676, 5], [726, 44]]","[[585, 5], [674, 44]]","[[186, 5], [258, 45]]","[[517, 4], [565, 40]]","[[263, 4], [332, 45]]"
001E3CF8-9BC5-4590-8063-B7AE4AA28416,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001E4641-5E6D-46F4-8CF3-589E36E32D12,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
001F1748-386B-438D-9FE6-9374B09CC1A1,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
001FB8C5-80EE-4677-9126-77D84348AE66,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
00201A74-35D3-4263-8546-D6E1383B2FB6,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
00202780-6726-4036-88FC-D96674ED9D9C,train,True,"[[737, 8], [773, 42]]","[[664, 10], [729, 42]]","[[322, 3], [372, 46]]","[[617, 9], [662, 44]]","[[393, 5], [445, 45]]"
00202F20-5C3D-4F91-8651-8083881D90FD,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0020CE68-7F2A-4CDF-A8E5-D192D535A8AC,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
002175B2-5CDE-48B6-9B22-4956728863AA,test,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0021DADB-9624-43D9-8EF9-A4F3099C2C22,validation,True,"[[676, 5], [726, 44]]","[[585, 5], [674, 44]]","[[186, 5], [258, 45]]","[[517, 4], [565, 40]]","[[263, 4], [332, 45]]"
002247BE-CB17-4152-A62A-359AB6A18E6A,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
00226CBC-CC50-43B4-9897-099159D6EC04,test,True,"[[115, 44], [156, 76]]","[[50, 45], [104, 74]]","[[362, 9], [403, 44]]","[[20, 46], [50, 74]]","[[362, 42], [403, 78]]"
00229A49-52AC-4836-BD81-D29D5EC82193,train,True,"[[589, 6], [628, 37]]","[[518, 6], [583, 36]]","[[320, 3], [375, 40]]","[[469, 6], [494, 36]]","[[257, 5], [308, 36]]"
0022ADB9-DF3E-4E0E-BED1-CBE11F423644,train,True,"[[588, 10], [631, 46]]","[[519, 8], [585, 46]]","[[320, 7], [388, 46]]","[[470, 8], [490, 44]]","[[253, 6], [308, 46]]"
0022F00E-E203-43E5-94CF-C6E0B74D78DA,train,True,"[[739, 8], [785, 45]]","[[679, 9], [735, 47]]","[[324, 4], [381, 48]]","[[626, 9], [674, 47]]","[[396, 6], [453, 48]]"
0022F3F9-28D6-4DAD-A1AD-C4A6EAA247A1,train,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0023A020-4583-43BC-AA1A-731C614C8732,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0023E18A-29AE-45E2-9A6B-1E4F8E2F6D9F,train,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
0023E698-C360-4CCC-B61D-FCA6C794E74D,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
00240FC5-385F-43F6-B386-00AE189F0FB5,test,True,"[[328, 5], [359, 34]]","[[264, 5], [323, 39]]","[[198, 4], [264, 43]]","[[386, 7], [427, 36]]","[[456, 3], [515, 42]]"
00244846-D241-4EDC-8E33-2D932BA7371A,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
0024F5D9-10FE-48B2-9F65-6AF1F2DF4828,train,True,"[[635, 14], [675, 42]]","[[571, 16], [625, 44]]","[[262, 1], [310, 36]]","[[301, 35], [339, 60]]","[[329, -1], [374, 37]]"
0025B676-01E8-4A68-B5D3-600F911C80D3,validation,True,"[[588, 7], [626, 35]]","[[518, 9], [578, 35]]","[[248, 1], [298, 38]]","[[462, 4], [492, 38]]","[[319, 1], [372, 40]]"
0026203C-DADA-4B02-A795-B12D5BD72809,test,True,"[[587, 6], [625, 35]]","[[517, 9], [577, 35]]","[[250, 3], [310, 40]]","[[461, 4], [516, 39]]","[[318, 1], [371, 39]]"
00264ACE-6399-4423-BA7E-5F3A2610DD75,test,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
002673D4-8EBD-4A9F-94AD-266CFDE7F15D,test,True,"[[877, 5], [917, 43]]","[[782, 5], [877, 41]]","[[389, 4], [453, 45]]","[[714, 5], [768, 43]]","[[460, 3], [522, 44]]"
0026B1B1-5FF2-4281-BCAC-526296BFECBD,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
002731C7-9BD4-496D-9F9A-ACEA47E8612B,train,True,"[[384, 4], [424, 43]]","[[323, 6], [386, 42]]","[[103, 6], [149, 42]]","[[285, 6], [309, 42]]","[[151, 2], [191, 42]]"
002741EF-AB7C-48A2-908F-CBF2E4D9A0C8,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
002870C1-1EF0-4BF5-BF52-3567765B029A,test,True,"[[115, 44], [156, 76]]","[[50, 45], [104, 74]]","[[362, 9], [403, 44]]","[[20, 46], [50, 74]]","[[362, 42], [403, 78]]"
00298222-319B-408A-991E-69B89FB9B85B,train,True,"[[112, 40], [150, 70]]","[[51, 41], [101, 69]]","[[359, 8], [401, 41]]","[[15, 42], [49, 69]]","[[357, 41], [399, 73]]"
002A584A-BDBE-4E16-9792-AE89A6625706,test,True,"[[384, 4], [424, 43]]","[[323, 6], [386, 42]]","[[103, 6], [149, 42]]","[[285, 6], [309, 42]]","[[151, 2], [191, 42]]"
002B0424-E108-48A2-9870-8A5A75BA3A9B,validation,True,"[[587, 10], [630, 46]]","[[518, 8], [585, 46]]","[[320, 7], [387, 46]]","[[469, 8], [517, 43]]","[[252, 6], [307, 46]]"
002bc521-3224-4f6a-ac42-a587d9d429f2,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
002C256D-90BC-4AB4-B4B9-6E6CABB1DC6D,test,True,"[[587, 10], [630, 46]]","[[518, 8], [585, 46]]","[[320, 7], [387, 46]]","[[469, 8], [517, 43]]","[[252, 6], [307, 46]]"
002CD688-9282-42AD-B81C-6C886943E1EF,train,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
002DFACD-B0A9-4A4E-BAAD-CB3B7D9E3163,validation,True,"[[459, 4], [505, 45]]","[[390, 7], [456, 46]]","[[131, 2], [181, 43]]","[[356, 7], [391, 45]]","[[298, 4], [356, 48]]"
002F5F82-ED0E-4260-9B14-D347B1774DDC,test,True,"[[328, 5], [359, 34]]","[[264, 5], [323, 39]]","[[198, 4], [264, 43]]","[[386, 7], [427, 36]]","[[456, 3], [515, 42]]"
00303283-1A8C-49CE-B823-08DFEA63AAC5,train,True,"[[595, 1], [627, 39]]","[[517, 5], [592, 43]]","[[319, 4], [388, 43]]","[[468, 5], [512, 43]]","[[244, 4], [313, 44]]"
